ship.id,ship.date,ship.mode,ship.cost
LM-7547,2015-03-31,Same Day,2.5
AX-7548,2015-09-18,Same Day,3.3
PQ-7549,2015-09-26,Same Day,13.3
JK-7550,2015-03-27,Same Day,1.7
MZ-7551,2015-11-10,Same Day,9.5
TA-7552,2015-10-22,Same Day,6.5
TA-7553,2015-08-31,Same Day,4.7
MZ-7554,2015-01-28,Same Day,9.6
PQ-7555,2015-08-30,Same Day,1.6
DF-7556,2015-02-09,Same Day,6.8
OP-7557,2015-10-29,Same Day,12.4
LP-7558,2015-04-04,Same Day,7.9
TA-7559,2015-04-12,Same Day,0.9
LM-7560,2015-05-06,Same Day,1.7
TA-7561,2015-12-30,Same Day,16.3
LM-7562,2015-07-24,Same Day,2.1
AX-7563,2015-10-08,Same Day,10
LM-7564,2015-03-14,Same Day,2.2
PQ-7565,2015-08-17,Same Day,3.4
OP-7566,2015-06-08,Same Day,13.1
DF-7567,2015-03-28,Same Day,2
LM-7568,2015-01-13,Same Day,6.5
JK-7569,2015-07-25,Same Day,11.5
DF-7570,2015-11-01,Same Day,11.3
MZ-7571,2015-02-05,Same Day,2.5
AX-7572,2015-03-26,Same Day,3.3
MZ-7573,2015-04-04,Same Day,10.8
LM-7574,2015-02-11,Same Day,4.2
JK-7575,2015-07-11,Same Day,10.2
LP-7576,2015-04-07,Same Day,6.5
DF-7577,2015-11-30,Same Day,4.6
DF-7578,2015-03-04,Same Day,9.6
DF-7579,2015-09-20,Same Day,1.2
LP-7580,2015-06-13,Same Day,5.4
LM-7581,2015-11-15,Same Day,10.9
OP-7582,2015-09-26,Same Day,11.1
AX-7583,2015-01-22,Same Day,1.4
DF-7584,2015-12-11,Same Day,0.8
PQ-7585,2015-07-21,Same Day,16.5
PQ-7586,2015-10-25,Same Day,1.7
AX-7587,2015-07-28,Same Day,10.8
LM-7588,2015-09-23,Same Day,1.6
LM-7589,2015-06-26,Same Day,2.9
AX-7590,2015-11-07,Same Day,12.7
MZ-7591,2015-05-31,Same Day,1.5
AX-7592,2015-04-16,Same Day,6.5
DF-7593,2015-10-12,Same Day,12.2
DZ-7594,2015-06-05,Same Day,10.3
PQ-7595,2015-06-19,Same Day,2.9
MZ-7596,2015-01-29,Same Day,0.8
JK-7597,2015-03-02,Same Day,16
DZ-7598,2015-07-29,Same Day,2.8
DF-7599,2015-08-15,Same Day,9.3
AX-7600,2015-11-26,Same Day,1.3
DZ-7601,2015-05-06,Same Day,3.4
TA-7602,2015-02-05,Same Day,12.2
JK-7603,2015-03-12,Same Day,2.3
OP-7604,2015-03-16,Same Day,6.2
DF-7605,2015-02-07,Same Day,14
DF-7606,2015-11-15,Same Day,10.3
MZ-7607,2015-05-09,Same Day,1.3
AX-7608,2015-04-18,Same Day,3.3
TA-7609,2015-06-26,Same Day,15.5
PQ-7610,2015-03-08,Same Day,4.2
OP-7611,2015-06-04,Same Day,8.3
LM-7612,2015-07-15,Same Day,3.3
LM-7613,2015-09-26,Same Day,4.5
OP-7614,2015-01-18,Same Day,12.2
DF-7615,2015-04-14,Same Day,1.4
LM-7616,2015-07-16,Same Day,5.1
LP-7617,2015-12-26,Same Day,10.9
DZ-7618,2015-06-04,Same Day,10.9
AX-7619,2015-08-17,Same Day,2
LM-7620,2015-08-25,Same Day,0.7
LP-7621,2015-12-30,Same Day,12
LP-7622,2015-05-01,Same Day,2.1
DF-7623,2015-09-26,Same Day,9.5
MZ-7624,2015-08-29,Same Day,2.2
MZ-7625,2015-04-21,Same Day,4.7
LM-7626,2015-03-01,Same Day,13.1
DZ-7627,2015-04-25,Same Day,1.6
AX-7628,2015-10-03,Same Day,5.6
AX-7629,2015-11-05,Same Day,12
OP-7630,2015-11-12,Same Day,8.7
LP-7631,2015-11-09,Same Day,3
MZ-7632,2015-04-22,Same Day,1.7
DZ-7633,2015-05-19,Same Day,16
OP-7634,2015-12-31,Same Day,1.7
LM-7635,2015-07-27,Same Day,10.4
MZ-7636,2015-11-01,Same Day,1.6
TA-7637,2015-02-18,Same Day,4.5
JK-7638,2015-12-13,Same Day,11.4
DF-7639,2015-10-28,Same Day,1.4
PQ-7640,2015-07-03,Same Day,6
OP-7641,2015-11-29,Same Day,12
LP-7642,2015-10-30,Same Day,11.3
LP-7643,2015-11-10,Same Day,0.3
DF-7644,2015-11-02,Same Day,0.7
MZ-7645,2015-09-06,Same Day,16.5
JK-7646,2015-10-14,Same Day,4.2
DF-7647,2015-03-13,Same Day,10.2
DZ-7648,2015-12-16,Same Day,3.3
JK-7649,2015-09-01,Same Day,4.5
MZ-7650,2015-12-11,Same Day,11.8
TA-7651,2015-02-06,Same Day,0.8
LM-7652,2015-10-06,Same Day,6.8
MZ-7653,2015-10-30,Same Day,14
JK-7654,2015-09-25,Same Day,7.9
OP-7655,2015-09-22,Same Day,1.4
TA-7656,2015-04-27,Same Day,1.7
DF-7657,2015-01-06,Same Day,16
OP-7658,2015-12-04,Same Day,2.8
LP-7659,2015-02-15,Same Day,9.3
OP-7660,2015-12-27,Same Day,1.6
DZ-7661,2015-07-30,Same Day,3.7
LP-7662,2015-05-09,Same Day,8.5
TA-7663,2015-08-07,Same Day,2.1
DF-7664,2015-01-05,Same Day,4.7
DF-7665,2015-10-14,Same Day,11.5
DZ-7666,2015-05-07,Same Day,11.1
LM-7667,2015-10-17,Same Day,3
DF-7668,2015-02-18,Same Day,1.1
DF-7669,2015-07-12,Same Day,16.3
OP-7670,2015-06-22,Same Day,0.2
TA-7671,2015-04-22,Same Day,10.2
MZ-7672,2015-10-26,Same Day,2.2
LP-7673,2015-10-11,Same Day,4
DZ-7674,2015-08-18,Same Day,10.7
DF-7675,2015-06-24,Same Day,2.1
OP-7676,2015-03-09,Same Day,6.3
PQ-7677,2015-02-13,Same Day,13.5
TA-7678,2015-06-25,Same Day,8.9
DZ-7679,2015-06-27,Same Day,0.9
PQ-7680,2015-05-20,Same Day,3.3
DF-7681,2015-12-19,Same Day,16
DF-7682,2015-10-17,Same Day,1.7
DF-7683,2015-05-02,Same Day,7.4
DF-7684,2015-02-23,Same Day,1.6
OP-7685,2015-08-20,Same Day,2.9
AX-7686,2015-04-25,Same Day,12.7
LP-7687,2015-06-14,Same Day,2.2
PQ-7688,2015-03-25,Same Day,3.9
DZ-7689,2015-06-27,Same Day,13.5
AX-7690,2015-03-24,Same Day,11.1
LM-7691,2015-07-22,Same Day,0.9
AX-7692,2015-01-02,Same Day,3.3
PQ-7693,2015-05-03,Same Day,14.5
AX-7694,2015-11-19,Same Day,2.1
MZ-7695,2015-11-13,Same Day,8.3
MZ-7696,2015-02-16,Same Day,6.5
TA-7697,2015-09-12,Same Day,4
DF-7698,2015-10-27,Same Day,12.7
LP-7699,2015-04-21,Same Day,0.8
AX-7700,2015-07-31,Same Day,3.2
DF-7701,2015-11-08,Same Day,12.4
LP-7702,2015-04-28,Same Day,11.3
DZ-7703,2015-09-30,Same Day,2.5
JK-7704,2015-07-19,Same Day,3.3
JK-7705,2015-10-30,Same Day,16.8
LP-7706,2015-08-28,Same Day,0.2
TA-7707,2015-02-17,Same Day,7.4
MZ-7708,2015-09-12,Same Day,1.3
DF-7709,2015-06-13,Same Day,4.5
LM-7710,2015-01-02,Same Day,13.6
LM-7711,2015-03-01,Same Day,1.2
PQ-7712,2015-06-26,Same Day,6
LM-7713,2015-02-23,Same Day,12.4
AX-7714,2015-01-07,Same Day,10.3
LM-7715,2015-06-28,Same Day,1.3
MZ-7716,2015-11-18,Same Day,3.3
OP-7717,2015-12-20,Same Day,16
JK-7718,2015-10-28,Same Day,1.7
DF-7719,2015-02-01,Same Day,10.8
TA-7720,2015-11-30,Same Day,6.5
DF-7721,2015-08-14,Same Day,1.8
LM-7722,2015-01-03,Same Day,11.8
JK-7723,2015-07-27,Same Day,1.8
MZ-7724,2015-09-26,Same Day,5.7
LP-7725,2015-05-16,Same Day,12.4
LP-7726,2015-03-07,Same Day,10.7
LM-7727,2015-12-17,Same Day,2.8
OP-7728,2015-08-06,Same Day,1.1
JK-7729,2015-08-31,Same Day,14
LM-7730,2015-07-22,Same Day,0.2
JK-7731,2015-02-12,Same Day,10.6
AX-7732,2015-08-28,Same Day,2.2
DZ-7733,2015-04-05,Same Day,3.7
TA-7734,2015-12-21,Same Day,13.1
PQ-7735,2015-02-08,Same Day,1.9
DZ-7736,2015-07-04,Same Day,6.6
MZ-7737,2015-08-27,Same Day,12.9
MZ-7738,2015-09-19,Same Day,8.9
DZ-7739,2015-01-14,Same Day,1.4
LM-7740,2015-01-09,Same Day,0.7
LP-7741,2015-01-01,Same Day,12
PQ-7742,2015-07-06,Same Day,4.2
PQ-7743,2015-06-09,Same Day,9.5
LM-7744,2015-08-21,Same Day,1.6
AX-7745,2015-05-16,Same Day,4
LM-7746,2015-04-05,Same Day,13.1
PQ-7747,2015-11-13,Same Day,1.4
DZ-7748,2015-06-23,Same Day,5.4
DF-7749,2015-02-22,Same Day,10.9
PQ-7750,2015-01-08,Same Day,8.9
LM-7751,2015-03-10,Same Day,2.1
PQ-7752,2015-08-05,Same Day,1.1
TA-7753,2015-12-27,Same Day,14.5
DF-7754,2015-07-31,Same Day,4.2
AX-7755,2015-11-09,Same Day,8.3
TA-7756,2015-03-18,Same Day,1.6
MZ-7757,2015-10-18,Same Day,4.4
LM-7758,2015-12-06,Same Day,13.3
JK-7759,2015-05-13,Same Day,1.9
PQ-7760,2015-07-23,Same Day,3.9
LP-7761,2015-02-04,Same Day,12.4
JK-7762,2015-08-28,Same Day,11.1
AX-7763,2015-03-24,Same Day,2.7
LM-7764,2015-03-26,Same Day,1.7
AX-7765,2015-10-31,Same Day,15.5
AX-7766,2015-03-16,Same Day,2.8
JK-7767,2015-05-03,Same Day,10.4
OP-7768,2015-12-17,Same Day,3.3
LP-7769,2015-08-01,Same Day,4.4
AX-7770,2015-05-21,Same Day,12.2
MZ-7771,2015-02-26,Same Day,2.1
LM-7772,2015-11-13,Same Day,5.4
PQ-7773,2015-12-31,Same Day,11.5
DZ-7774,2015-12-16,Same Day,8.9
DF-7775,2015-04-30,Same Day,2.8
DF-7776,2015-05-22,Same Day,0.7
DZ-7777,2015-01-26,Same Day,14
PQ-7778,2015-07-15,Same Day,1.7
LM-7779,2015-12-31,Same Day,10.2
JK-7780,2015-06-18,Same Day,6.5
OP-7781,2015-09-07,Same Day,4
LP-7782,2015-05-22,Same Day,12.9
TA-7783,2015-09-27,Same Day,2
DZ-7784,2015-11-29,Same Day,6.5
JK-7785,2015-08-23,Same Day,13.5
OP-7786,2015-04-01,Same Day,11.5
LM-7787,2015-11-24,Same Day,2.8
OP-7788,2015-05-18,Same Day,0.7
MZ-7789,2015-02-22,Same Day,13.3
DZ-7790,2015-07-17,Same Day,4.2
MZ-7791,2015-12-01,Same Day,9.3
PQ-7792,2015-08-14,Same Day,2.2
OP-7793,2015-09-29,Same Day,2.4
JK-7794,2015-08-29,Same Day,8.5
LP-7795,2015-11-12,Same Day,2.1
DZ-7796,2015-07-14,Same Day,4.5
JK-7797,2015-08-01,Same Day,14
LP-7798,2015-07-24,Same Day,10.7
LP-7799,2015-10-14,Same Day,2.5
TA-7800,2015-01-10,Same Day,3.3
DF-7801,2015-10-18,Same Day,16.8
LM-7802,2015-04-07,Same Day,2.1
PQ-7803,2015-12-14,Same Day,8.1
DF-7804,2015-07-12,Same Day,3.3
JK-7805,2015-08-05,Same Day,4
DZ-7806,2015-08-11,Same Day,11.4
TA-7807,2015-04-19,Same Day,0.8
AX-7808,2015-03-05,Same Day,5.7
LM-7809,2015-09-08,Same Day,10.9
PQ-7810,2015-11-06,Same Day,10.9
MZ-7811,2015-11-27,Same Day,2.2
DZ-7812,2015-12-31,Same Day,1.1
DF-7813,2015-12-20,Same Day,16.5
DF-7814,2015-01-25,Same Day,2.8
OP-7815,2015-12-30,Same Day,9.3
MZ-7816,2015-01-31,Same Day,1.3
LM-7817,2015-10-06,Same Day,3.4
PQ-7818,2015-02-01,Same Day,10.5
JK-7819,2015-10-07,Same Day,1.8
LM-7820,2015-11-21,Same Day,6.6
OP-7821,2015-12-13,Same Day,13.3
LP-7822,2015-06-23,Same Day,9.5
JK-7823,2015-01-12,Same Day,1.8
LM-7824,2015-03-17,Same Day,3.3
OP-7825,2015-08-02,Same Day,13
AX-7826,2015-02-09,Same Day,0.1
DF-7827,2015-08-21,Same Day,8.3
MZ-7828,2015-05-25,Same Day,6.5
LM-7829,2015-01-12,Same Day,4.4
MZ-7830,2015-04-28,Same Day,8.5
MZ-7831,2015-01-15,Same Day,0.8
OP-7832,2015-03-15,Same Day,4.5
LP-7833,2015-10-04,Same Day,14
DZ-7834,2015-06-01,Same Day,8.7
LP-7835,2015-02-28,Same Day,1.3
AX-7836,2015-04-21,Same Day,1.1
TA-7837,2015-10-27,Same Day,16.3
MZ-7838,2015-11-16,Same Day,2.1
PQ-7839,2015-09-24,Same Day,10.4
LP-7840,2015-04-19,Same Day,2.2
JK-7841,2015-09-24,Same Day,3.7
TA-7842,2015-08-16,Same Day,13.8
AX-7843,2015-01-16,Same Day,2
LM-7844,2015-12-01,Same Day,5.1
PQ-7845,2015-11-25,Same Day,12.9
JK-7846,2015-10-25,Same Day,11.7
TA-7847,2015-04-01,Same Day,2.7
LM-7848,2015-11-10,Same Day,1.7
LP-7849,2015-06-28,Same Day,16
DZ-7850,2015-07-10,Same Day,1.7
TA-7851,2015-11-23,Same Day,9.3
LM-7852,2015-03-10,Same Day,6.5
PQ-7853,2015-01-24,Same Day,4.9
JK-7854,2015-02-25,Same Day,13.1
LP-7855,2015-04-14,Same Day,2.2
OP-7856,2015-12-09,Same Day,4.7
LP-7857,2015-02-26,Same Day,10.6
DF-7858,2015-04-14,Same Day,10.1
LM-7859,2015-06-04,Same Day,2
PQ-7860,2015-04-25,Same Day,1.1
MZ-7861,2015-04-26,Same Day,14
PQ-7862,2015-03-07,Same Day,2.1
DF-7863,2015-10-08,Same Day,9.7
JK-7864,2015-11-28,Same Day,1.6
PQ-7865,2015-08-30,Same Day,4.7
OP-7866,2015-06-23,Same Day,10.5
OP-7867,2015-02-19,Same Day,1.8
DF-7868,2015-06-17,Same Day,4.7
DZ-7869,2015-11-27,Same Day,12
MZ-7870,2015-05-19,Same Day,11.3
AX-7871,2015-12-24,Same Day,0.3
DZ-7872,2015-06-09,Same Day,1.1
TA-7873,2015-07-29,Same Day,15.5
AX-7874,2015-05-10,Same Day,1.7
DF-7875,2015-01-19,Same Day,9.5
DZ-7876,2015-04-27,Same Day,6.5
JK-7877,2015-04-20,Same Day,3.7
LP-7878,2015-04-11,Same Day,11.4
DZ-7879,2015-10-17,Same Day,0.7
OP-7880,2015-06-22,Same Day,5.6
LP-7881,2015-09-17,Same Day,13.8
JK-7882,2015-12-07,Same Day,10.9
DZ-7883,2015-10-18,Same Day,2.4
OP-7884,2015-08-01,Same Day,1.1
OP-7885,2015-06-09,Same Day,14.5
MZ-7886,2015-01-11,Same Day,1.7
DZ-7887,2015-02-25,Same Day,9.3
DF-7888,2015-05-26,Same Day,6.5
TA-7889,2015-07-11,Same Day,4.7
PQ-7890,2015-09-03,Same Day,9.6
MZ-7891,2015-10-07,Same Day,1.5
JK-7892,2015-09-28,Same Day,4.5
LM-7893,2015-11-16,Same Day,13.5
MZ-7894,2015-10-06,Same Day,9.9
DF-7895,2015-02-11,Same Day,1.4
TA-7896,2015-09-13,Same Day,1.1
PQ-7897,2015-11-09,Same Day,16
AX-7898,2015-09-06,Same Day,4.2
OP-7899,2015-02-23,Same Day,8.3
DZ-7900,2015-07-25,Same Day,3.3
JK-7901,2015-07-09,Same Day,1.8
JK-7902,2015-05-13,Same Day,13.3
TA-7903,2015-10-13,Same Day,0.3
OP-7904,2015-04-07,Same Day,6
OP-7905,2015-06-27,Same Day,12.4
DF-7906,2015-10-19,Same Day,11.5
LP-7907,2015-11-03,Same Day,2.2
AX-7908,2015-06-14,Same Day,1.1
DZ-7909,2015-04-04,Same Day,15
MZ-7910,2015-12-15,Same Day,0.1
JK-7911,2015-04-01,Same Day,9.5
TA-7912,2015-09-29,Same Day,1.6
OP-7913,2015-12-17,Same Day,3.1
MZ-7914,2015-03-05,Same Day,11.4
AX-7915,2015-02-08,Same Day,0.7
OP-7916,2015-09-07,Same Day,6.6
PQ-7917,2015-11-17,Same Day,13.8
TA-7918,2015-01-29,Same Day,11.5
OP-7919,2015-01-01,Same Day,2.4
AX-7920,2015-10-13,Same Day,3.3
JK-7921,2015-05-23,Same Day,16.3
OP-7922,2015-10-23,Same Day,4.2
LP-7923,2015-03-02,Same Day,9.7
MZ-7924,2015-04-05,Same Day,3.3
OP-7925,2015-04-09,Same Day,4.5
PQ-7926,2015-02-14,Same Day,13.1
PQ-7927,2015-03-19,Same Day,1.8
DZ-7928,2015-03-07,Same Day,5.1
PQ-7929,2015-04-28,Same Day,12.9
DF-7930,2015-06-09,Same Day,7.9
PQ-7931,2015-01-09,Same Day,2.5
AX-7932,2015-03-27,Same Day,3.3
PQ-7933,2015-05-11,Same Day,15
AX-7934,2015-12-06,Same Day,1.7
OP-7935,2015-07-09,Same Day,9.5
LP-7936,2015-08-28,Same Day,1.3
DZ-7937,2015-02-17,Same Day,4.7
MZ-7938,2015-09-30,Same Day,11.8
LM-7939,2015-11-25,Same Day,2.3
DF-7940,2015-12-29,Same Day,4.5
OP-7941,2015-11-23,Same Day,12.4
OP-7942,2015-11-22,Same Day,10.3
DF-7943,2015-06-07,Same Day,2
OP-7944,2015-07-29,Same Day,1.1
LP-7945,2015-09-13,Same Day,14.5
DF-7946,2015-09-28,Same Day,2.1
LM-7947,2015-11-16,Same Day,9.5
PQ-7948,2015-05-28,Same Day,1.6
JK-7949,2015-06-10,Same Day,4.2
DZ-7950,2015-03-25,Same Day,9.6
TA-7951,2015-01-10,Same Day,0.8
PQ-7952,2015-05-03,Same Day,4.5
JK-7953,2015-02-04,Same Day,13.5
DZ-7954,2015-07-12,Same Day,7.9
JK-7955,2015-12-02,Same Day,0.9
LP-7956,2015-11-17,Same Day,1.7
JK-7957,2015-06-28,Same Day,15.5
MZ-7958,2015-10-22,Same Day,2.1
JK-7959,2015-02-15,Same Day,8.9
LP-7960,2015-06-11,Same Day,2.2
PQ-7961,2015-01-30,Same Day,4.2
JK-7962,2015-06-13,Same Day,10.5
DF-7963,2015-09-05,Same Day,2.3
JK-7964,2015-07-19,Same Day,6.5
DF-7965,2015-03-10,Same Day,12.9
MZ-7966,2015-09-20,Same Day,11.7
LP-7967,2015-12-14,Same Day,2.5
MZ-7968,2015-04-12,Same Day,1.7
LM-7969,2015-03-20,Same Day,14
DF-7970,2015-09-10,Same Day,1.7
TA-7971,2015-12-01,Same Day,9.3
DZ-7972,2015-02-10,Same Day,3.3
MZ-7973,2015-03-09,Same Day,3.7
DF-7974,2015-12-28,Same Day,12.2
OP-7975,2015-11-12,Same Day,2
MZ-7976,2015-12-14,Same Day,6
AX-7977,2015-09-16,Same Day,9.8
DZ-7978,2015-10-15,Same Day,10.9
MZ-7979,2015-12-05,Same Day,2.2
JK-7980,2015-08-03,Same Day,0.7
TA-7981,2015-11-24,Same Day,16.3
TA-7982,2015-03-22,Same Day,4.2
MZ-7983,2015-03-31,Same Day,11
DZ-7984,2015-11-04,Same Day,1.6
DZ-7985,2015-12-24,Same Day,4.2
DZ-7986,2015-04-23,Same Day,11.4
PQ-7987,2015-08-21,Same Day,2.1
OP-7988,2015-05-27,Same Day,4.5
DF-7989,2015-12-06,Same Day,12
LP-7990,2015-12-16,Same Day,11.1
TA-7991,2015-08-28,Same Day,2.2
PQ-7992,2015-01-21,Same Day,1.7
JK-7993,2015-04-10,Same Day,15.8
MZ-7994,2015-03-04,Same Day,2.8
OP-7995,2015-10-16,Same Day,10.4
AX-7996,2015-06-09,Same Day,1.3
AX-7997,2015-12-13,Same Day,3.1
PQ-7998,2015-08-23,Same Day,10.5
TA-7999,2015-03-11,Same Day,1.6
DZ-8000,2015-10-14,Same Day,5.1
LM-8001,2015-07-31,Same Day,12.4
LM-8002,2015-08-04,Same Day,6.9
LM-8003,2015-03-30,Same Day,2.7
JK-8004,2015-11-03,Same Day,3.3
PQ-8005,2015-12-18,Same Day,14
OP-8006,2015-10-21,Same Day,1.7
TA-8007,2015-05-14,Same Day,8.3
PQ-8008,2015-12-27,Same Day,2.2
LP-8009,2015-12-01,Same Day,3.1
PQ-8010,2015-12-03,Same Day,11.4
PQ-8011,2015-12-26,Same Day,2.1
TA-8012,2015-03-30,Same Day,3.2
OP-8013,2015-03-31,Same Day,12.9
JK-8014,2015-02-11,Same Day,10.9
JK-8015,2015-01-01,Same Day,2.2
OP-8016,2015-06-17,Same Day,3.3
OP-8017,2015-09-25,Same Day,16.5
PQ-8018,2015-02-13,Same Day,1.7
LP-8019,2015-04-22,Same Day,8.3
LP-8020,2015-01-26,Same Day,1.3
DF-8021,2015-05-10,Same Day,3.1
DF-8022,2015-05-23,Same Day,12.2
LP-8023,2015-03-24,Same Day,0.3
DZ-8024,2015-11-15,Same Day,5.7
JK-8025,2015-07-22,Same Day,13.5
TA-8026,2015-02-23,Same Day,9.9
DF-8027,2015-02-11,Same Day,2.7
LM-8028,2015-07-02,Same Day,1.7
MZ-8029,2015-08-16,Same Day,16
LM-8030,2015-04-01,Same Day,2.1
DF-8031,2015-06-08,Same Day,9.7
TA-8032,2015-07-02,Same Day,2.2
OP-8033,2015-08-06,Same Day,4
PQ-8034,2015-06-11,Same Day,12.9
LM-8035,2015-09-17,Same Day,1.6
TA-8036,2015-02-06,Same Day,3.9
PQ-8037,2015-09-17,Same Day,12.2
DZ-8038,2015-10-28,Same Day,11.3
AX-8039,2015-01-24,Same Day,2.4
OP-8040,2015-04-22,Same Day,0.8
PQ-8041,2015-06-13,Same Day,15
TA-8042,2015-11-08,Same Day,4.2
MZ-8043,2015-08-29,Same Day,11
JK-8044,2015-12-15,Same Day,2.2
DF-8045,2015-10-13,Same Day,3.1
TA-8046,2015-09-04,Same Day,13.3
PQ-8047,2015-12-24,Same Day,2
LP-8048,2015-08-09,Same Day,6.5
LM-8049,2015-07-27,Same Day,8.7
JK-8050,2015-10-20,Same Day,10.7
LP-8051,2015-04-28,Same Day,2.2
TA-8052,2015-03-16,Same Day,0.8
PQ-8053,2015-04-29,Same Day,12
OP-8054,2015-01-31,Same Day,1.7
AX-8055,2015-08-27,Same Day,7.4
MZ-8056,2015-07-12,Same Day,2.2
OP-8057,2015-03-26,Same Day,2.4
LM-8058,2015-09-14,Same Day,10.7
DZ-8059,2015-01-15,Same Day,2.3
AX-8060,2015-01-21,Same Day,6.5
MZ-8061,2015-12-11,Same Day,12
JK-8062,2015-08-10,Same Day,8.7
TA-8063,2015-04-09,Same Day,1.4
LP-8064,2015-11-13,Same Day,0.8
OP-8065,2015-09-15,Same Day,16.8
LP-8066,2015-12-01,Same Day,0.1
JK-8067,2015-11-22,Same Day,9.7
OP-8068,2015-06-06,Same Day,2.2
DF-8069,2015-09-24,Same Day,4
DZ-8070,2015-06-28,Same Day,13.1
AX-8071,2015-08-22,Same Day,2.1
DZ-8072,2015-02-09,Same Day,6.5
DZ-8073,2015-08-29,Same Day,10.9
DZ-8074,2015-02-15,Same Day,11.1
MZ-8075,2015-03-18,Same Day,2.7
AX-8076,2015-08-04,Same Day,1.1
TA-8077,2015-11-20,Same Day,15.5
LP-8078,2015-03-10,Same Day,1.7
AX-8079,2015-12-12,Same Day,8.3
MZ-8080,2015-11-29,Same Day,2.2
AX-8081,2015-10-25,Same Day,2.4
TA-8082,2015-08-30,Same Day,11.4
JK-8083,2015-03-07,Same Day,1.4
DZ-8084,2015-06-10,Same Day,4.7
DF-8085,2015-05-19,Same Day,13.3
JK-8086,2015-03-06,Same Day,11.1
TA-8087,2015-08-25,Same Day,2.7
PQ-8088,2015-09-20,Same Day,0.8
JK-8089,2015-09-19,Same Day,14.8
LM-8090,2015-09-11,Same Day,1.7
DZ-8091,2015-09-26,Same Day,8.3
JK-8092,2015-02-15,Same Day,1.3
DZ-8093,2015-01-21,Same Day,3.1
DZ-8094,2015-09-30,Same Day,9.6
MZ-8095,2015-12-12,Same Day,2
AX-8096,2015-05-20,Same Day,6
TA-8097,2015-05-05,Same Day,13.3
JK-8098,2015-04-15,Same Day,9.9
OP-8099,2015-07-12,Same Day,2.7
OP-8100,2015-09-29,Same Day,0.7
DF-8101,2015-05-17,Same Day,16.5
TA-8102,2015-07-25,Same Day,0.1
JK-8103,2015-04-05,Same Day,10.4
AX-8104,2015-12-18,Same Day,3.3
DF-8105,2015-12-23,Same Day,4.7
DF-8106,2015-05-12,Same Day,13.3
JK-8107,2015-11-18,Same Day,1.6
OP-8108,2015-12-10,Same Day,5.1
DF-8109,2015-12-14,Same Day,9.8
TA-8110,2015-09-14,Same Day,11.5
PQ-8111,2015-01-30,Same Day,2
JK-8112,2015-09-29,Same Day,0.8
PQ-8113,2015-11-21,Same Day,16.5
DZ-8114,2015-07-31,Same Day,1.7
TA-8115,2015-04-04,Same Day,8.9
LM-8116,2015-09-20,Same Day,1.6
JK-8117,2015-11-07,Same Day,3.1
LP-8118,2015-08-07,Same Day,8.5
MZ-8119,2015-09-25,Same Day,1.2
DF-8120,2015-02-02,Same Day,5.4
DF-8121,2015-10-09,Same Day,13.3
DF-8122,2015-03-16,Same Day,8.7
MZ-8123,2015-07-12,Same Day,2.9
PQ-8124,2015-05-27,Same Day,1.7
TA-8125,2015-04-23,Same Day,15.8
JK-8126,2015-02-27,Same Day,1.7
AX-8127,2015-07-29,Same Day,10.8
TA-8128,2015-03-07,Same Day,1.6
JK-8129,2015-08-26,Same Day,4.4
JK-8130,2015-09-05,Same Day,13.6
PQ-8131,2015-02-06,Same Day,2.1
OP-8132,2015-08-10,Same Day,5.4
DZ-8133,2015-06-01,Same Day,10.9
LM-8134,2015-05-30,Same Day,9.5
LP-8135,2015-09-01,Same Day,2.7
DF-8136,2015-01-20,Same Day,0.8
LM-8137,2015-11-09,Same Day,16
LP-8138,2015-02-18,Same Day,1.7
OP-8139,2015-04-17,Same Day,8.3
DF-8140,2015-07-14,Same Day,1.6
MZ-8141,2015-08-11,Same Day,4
TA-8142,2015-10-17,Same Day,12.2
PQ-8143,2015-08-01,Same Day,0.8
MZ-8144,2015-08-08,Same Day,6.2
OP-8145,2015-07-03,Same Day,12.9
PQ-8146,2015-10-25,Same Day,11.1
PQ-8147,2015-04-23,Same Day,2.4
LM-8148,2015-07-05,Same Day,0.7
DZ-8149,2015-05-24,Same Day,14
JK-8150,2015-10-31,Same Day,0.1
OP-8151,2015-03-27,Same Day,10.6
DF-8152,2015-08-05,Same Day,2.2
PQ-8153,2015-02-28,Same Day,3.1
TA-8154,2015-11-30,Same Day,12.9
AX-8155,2015-02-16,Same Day,1.6
AX-8156,2015-10-29,Same Day,6.5
AX-8157,2015-09-16,Same Day,12.4
TA-8158,2015-05-15,Same Day,6.9
MZ-8159,2015-01-12,Same Day,2.9
DF-8160,2015-02-07,Same Day,0.8
DZ-8161,2015-11-07,Same Day,16.3
OP-8162,2015-12-07,Same Day,2.8
DZ-8163,2015-12-02,Same Day,10.4
AX-8164,2015-03-18,Same Day,2.2
DF-8165,2015-01-13,Same Day,4
DZ-8166,2015-07-09,Same Day,13.3
TA-8167,2015-04-17,Same Day,2.1
DF-8168,2015-12-26,Same Day,4.5
JK-8169,2015-01-12,Same Day,13.3
MZ-8170,2015-08-04,Same Day,9.9
DF-8171,2015-12-12,Same Day,0.3
TA-8172,2015-04-05,Same Day,1.7
OP-8173,2015-04-08,Same Day,13.3
DF-8174,2015-06-25,Same Day,2.1
DZ-8175,2015-08-19,Same Day,9.3
LM-8176,2015-10-01,Same Day,1.3
OP-8177,2015-07-02,Same Day,3.7
LP-8178,2015-09-02,Same Day,13.1
